number-of-people	living-municipality	living-voivodeship	working-municipality	working-voivodeship
17	Jarosław	Podkarpackie	Żurawica	Podkarpackie
53	Jarosław	Podkarpackie	Przeworsk	Podkarpackie
11	Jarosław	Podkarpackie	Zarzecze	Podkarpackie
11	Jarosław	Podkarpackie	Trzebownisko	Podkarpackie
12	Jarosław	Podkarpackie	Krosno	Podkarpackie
110	Jarosław	Podkarpackie	Przemyśl	Podkarpackie
387	Jarosław	Podkarpackie	Rzeszów	Podkarpackie
26	Jarosław	Podkarpackie	Tychy	Śląskie
11	Radymno	Podkarpackie	Kraków	Małopolskie
28	Radymno	Podkarpackie	Warszawa	Mazowieckie
229	Radymno	Podkarpackie	Jarosław	Podkarpackie
25	Radymno	Podkarpackie	Jarosław	Podkarpackie
11	Radymno	Podkarpackie	Laszki	Podkarpackie
73	Radymno	Podkarpackie	Radymno	Podkarpackie
15	Radymno	Podkarpackie	Żurawica	Podkarpackie
10	Radymno	Podkarpackie	Stalowa Wola	Podkarpackie
71	Radymno	Podkarpackie	Przemyśl	Podkarpackie
122	Radymno	Podkarpackie	Rzeszów	Podkarpackie
19	Chłopice	Podkarpackie	Warszawa	Mazowieckie
471	Chłopice	Podkarpackie	Jarosław	Podkarpackie
14	Chłopice	Podkarpackie	Radymno	Podkarpackie
16	Chłopice	Podkarpackie	Jarosław	Podkarpackie
28	Chłopice	Podkarpackie	Pawłosiów	Podkarpackie
17	Chłopice	Podkarpackie	Wiązownica	Podkarpackie
28	Chłopice	Podkarpackie	Przemyśl	Podkarpackie
76	Chłopice	Podkarpackie	Rzeszów	Podkarpackie
11	Jarosław	Podkarpackie	Tarnogród - miasto	Lubelskie
10	Jarosław	Podkarpackie	Nowy Dwór Mazowiecki	Mazowieckie
58	Jarosław	Podkarpackie	Warszawa	Mazowieckie
1069	Jarosław	Podkarpackie	Jarosław	Podkarpackie
18	Jarosław	Podkarpackie	Radymno	Podkarpackie
16	Jarosław	Podkarpackie	Pawłosiów	Podkarpackie
27	Jarosław	Podkarpackie	Radymno	Podkarpackie
42	Jarosław	Podkarpackie	Wiązownica	Podkarpackie
10	Jarosław	Podkarpackie	Kolbuszowa - miasto	Podkarpackie
10	Jarosław	Podkarpackie	Leżajsk	Podkarpackie
32	Jarosław	Podkarpackie	Przeworsk	Podkarpackie
18	Jarosław	Podkarpackie	Tryńcza	Podkarpackie
17	Jarosław	Podkarpackie	Stalowa Wola	Podkarpackie
14	Jarosław	Podkarpackie	Krosno	Podkarpackie
21	Jarosław	Podkarpackie	Przemyśl	Podkarpackie
187	Jarosław	Podkarpackie	Rzeszów	Podkarpackie
10	Laszki	Podkarpackie	Warszawa	Mazowieckie
303	Laszki	Podkarpackie	Jarosław	Podkarpackie
14	Laszki	Podkarpackie	Radymno	Podkarpackie
60	Laszki	Podkarpackie	Jarosław	Podkarpackie
19	Laszki	Podkarpackie	Radymno	Podkarpackie
28	Laszki	Podkarpackie	Wiązownica	Podkarpackie
18	Laszki	Podkarpackie	Przemyśl	Podkarpackie
74	Laszki	Podkarpackie	Rzeszów	Podkarpackie
16	Pawłosiów	Podkarpackie	Tarnów	Małopolskie
38	Pawłosiów	Podkarpackie	Warszawa	Mazowieckie
695	Pawłosiów	Podkarpackie	Jarosław	Podkarpackie
45	Pawłosiów	Podkarpackie	Jarosław	Podkarpackie
17	Pawłosiów	Podkarpackie	Roźwienica	Podkarpackie
24	Pawłosiów	Podkarpackie	Wiązownica	Podkarpackie
32	Pawłosiów	Podkarpackie	Przeworsk	Podkarpackie
10	Pawłosiów	Podkarpackie	Zarzecze	Podkarpackie
16	Pawłosiów	Podkarpackie	Przemyśl	Podkarpackie
190	Pawłosiów	Podkarpackie	Rzeszów	Podkarpackie
20	Pruchnik - miasto	Podkarpackie	Warszawa	Mazowieckie
251	Pruchnik - miasto	Podkarpackie	Jarosław	Podkarpackie
15	Pruchnik - miasto	Podkarpackie	Pawłosiów	Podkarpackie
21	Pruchnik - miasto	Podkarpackie	Pruchnik - obszar wiejski	Podkarpackie
35	Pruchnik - miasto	Podkarpackie	Roźwienica	Podkarpackie
43	Pruchnik - miasto	Podkarpackie	Rzeszów	Podkarpackie
10	Pruchnik - obszar wiejski	Podkarpackie	Kraków	Małopolskie
13	Pruchnik - obszar wiejski	Podkarpackie	Warszawa	Mazowieckie
385	Pruchnik - obszar wiejski	Podkarpackie	Jarosław	Podkarpackie
25	Pruchnik - obszar wiejski	Podkarpackie	Pawłosiów	Podkarpackie
38	Pruchnik - obszar wiejski	Podkarpackie	Pruchnik - miasto	Podkarpackie
21	Pruchnik - obszar wiejski	Podkarpackie	Roźwienica	Podkarpackie
10	Pruchnik - obszar wiejski	Podkarpackie	Przeworsk	Podkarpackie
76	Pruchnik - obszar wiejski	Podkarpackie	Rzeszów	Podkarpackie
11	Pruchnik - obszar wiejski	Podkarpackie	Suchy Las	Wielkopolskie
20	Radymno	Podkarpackie	Ochotnica Dolna	Małopolskie
29	Radymno	Podkarpackie	Kraków	Małopolskie
38	Radymno	Podkarpackie	Warszawa	Mazowieckie
459	Radymno	Podkarpackie	Jarosław	Podkarpackie
151	Radymno	Podkarpackie	Radymno	Podkarpackie
30	Radymno	Podkarpackie	Jarosław	Podkarpackie
28	Radymno	Podkarpackie	Laszki	Podkarpackie
37	Radymno	Podkarpackie	Wiązownica	Podkarpackie
17	Radymno	Podkarpackie	Orły	Podkarpackie
16	Radymno	Podkarpackie	Żurawica	Podkarpackie
10	Radymno	Podkarpackie	Krosno	Podkarpackie
112	Radymno	Podkarpackie	Przemyśl	Podkarpackie
253	Radymno	Podkarpackie	Rzeszów	Podkarpackie
11	Rokietnica	Podkarpackie	Kraków	Małopolskie
23	Rokietnica	Podkarpackie	Warszawa	Mazowieckie
242	Rokietnica	Podkarpackie	Jarosław	Podkarpackie
10	Rokietnica	Podkarpackie	Jarosław	Podkarpackie
13	Rokietnica	Podkarpackie	Roźwienica	Podkarpackie
14	Rokietnica	Podkarpackie	Żurawica	Podkarpackie
10	Rokietnica	Podkarpackie	Sanok	Podkarpackie
55	Rokietnica	Podkarpackie	Przemyśl	Podkarpackie
63	Rokietnica	Podkarpackie	Rzeszów	Podkarpackie
13	Roźwienica	Podkarpackie	Kraków	Małopolskie
27	Roźwienica	Podkarpackie	Warszawa	Mazowieckie
511	Roźwienica	Podkarpackie	Jarosław	Podkarpackie
13	Roźwienica	Podkarpackie	Jarosław	Podkarpackie
40	Roźwienica	Podkarpackie	Pawłosiów	Podkarpackie
12	Roźwienica	Podkarpackie	Pruchnik - miasto	Podkarpackie
13	Roźwienica	Podkarpackie	Wiązownica	Podkarpackie
17	Roźwienica	Podkarpackie	Przeworsk	Podkarpackie
15	Roźwienica	Podkarpackie	Przemyśl	Podkarpackie
107	Roźwienica	Podkarpackie	Rzeszów	Podkarpackie
14	Wiązownica	Podkarpackie	Kraków	Małopolskie
10	Wiązownica	Podkarpackie	Sokołów Podlaski	Mazowieckie
39	Wiązownica	Podkarpackie	Warszawa	Mazowieckie
859	Wiązownica	Podkarpackie	Jarosław	Podkarpackie
80	Wiązownica	Podkarpackie	Jarosław	Podkarpackie
10	Wiązownica	Podkarpackie	Laszki	Podkarpackie
23	Wiązownica	Podkarpackie	Pawłosiów	Podkarpackie
15	Wiązownica	Podkarpackie	Przeworsk	Podkarpackie
28	Wiązownica	Podkarpackie	Sieniawa - obszar wiejski	Podkarpackie
15	Wiązownica	Podkarpackie	Krosno	Podkarpackie
15	Wiązownica	Podkarpackie	Przemyśl	Podkarpackie
148	Wiązownica	Podkarpackie	Rzeszów	Podkarpackie
13	Wiązownica	Podkarpackie	Olsztyn	Warmińsko-mazurskie
11	Jasło	Podkarpackie	Wrocław	Dolnośląskie
24	Jasło	Podkarpackie	Gorlice	Małopolskie
11	Jasło	Podkarpackie	Biecz - miasto	Małopolskie
14	Jasło	Podkarpackie	Szerzyny	Małopolskie
62	Jasło	Podkarpackie	Kraków	Małopolskie
10	Jasło	Podkarpackie	Nowy Sącz	Małopolskie
11	Jasło	Podkarpackie	Tarnów	Małopolskie
44	Jasło	Podkarpackie	Warszawa	Mazowieckie
13	Jasło	Podkarpackie	Dębica	Podkarpackie
12	Jasło	Podkarpackie	Brzostek - miasto	Podkarpackie
44	Jasło	Podkarpackie	Brzyska	Podkarpackie
75	Jasło	Podkarpackie	Dębowiec	Podkarpackie
138	Jasło	Podkarpackie	Jasło	Podkarpackie
32	Jasło	Podkarpackie	Kołaczyce - miasto	Podkarpackie
70	Jasło	Podkarpackie	Kołaczyce - obszar wiejski	Podkarpackie
38	Jasło	Podkarpackie	Nowy Żmigród	Podkarpackie
25	Jasło	Podkarpackie	Osiek Jasielski	Podkarpackie
98	Jasło	Podkarpackie	Skołyszyn	Podkarpackie
91	Jasło	Podkarpackie	Tarnowiec	Podkarpackie
13	Jasło	Podkarpackie	Jedlicze - miasto	Podkarpackie
10	Jasło	Podkarpackie	Trzebownisko	Podkarpackie
20	Jasło	Podkarpackie	Sanok	Podkarpackie
247	Jasło	Podkarpackie	Krosno	Podkarpackie
211	Jasło	Podkarpackie	Rzeszów	Podkarpackie
45	Jasło	Podkarpackie	Tarnobrzeg	Podkarpackie
14	Jasło	Podkarpackie	Katowice	Śląskie
12	Brzyska	Podkarpackie	Dębica	Podkarpackie
629	Brzyska	Podkarpackie	Jasło	Podkarpackie
19	Brzyska	Podkarpackie	Jasło	Podkarpackie
10	Brzyska	Podkarpackie	Kołaczyce - miasto	Podkarpackie
73	Brzyska	Podkarpackie	Kołaczyce - obszar wiejski	Podkarpackie
13	Brzyska	Podkarpackie	Skołyszyn	Podkarpackie
94	Brzyska	Podkarpackie	Krosno	Podkarpackie
82	Brzyska	Podkarpackie	Rzeszów	Podkarpackie
10	Brzyska	Podkarpackie	Tarnobrzeg	Podkarpackie
21	Dębowiec	Podkarpackie	Gorlice	Małopolskie
15	Dębowiec	Podkarpackie	Kraków	Małopolskie
13	Dębowiec	Podkarpackie	Płock	Mazowieckie
13	Dębowiec	Podkarpackie	Brzozów - miasto	Podkarpackie
534	Dębowiec	Podkarpackie	Jasło	Podkarpackie
28	Dębowiec	Podkarpackie	Jasło	Podkarpackie
10	Dębowiec	Podkarpackie	Nowy Żmigród	Podkarpackie
41	Dębowiec	Podkarpackie	Osiek Jasielski	Podkarpackie
24	Dębowiec	Podkarpackie	Skołyszyn	Podkarpackie
22	Dębowiec	Podkarpackie	Tarnowiec	Podkarpackie
15	Dębowiec	Podkarpackie	Sanok	Podkarpackie
96	Dębowiec	Podkarpackie	Krosno	Podkarpackie
90	Dębowiec	Podkarpackie	Rzeszów	Podkarpackie
10	Jasło	Podkarpackie	Wrocław	Dolnośląskie
25	Jasło	Podkarpackie	Gorlice	Małopolskie
32	Jasło	Podkarpackie	Kraków	Małopolskie
30	Jasło	Podkarpackie	Tarnów	Małopolskie
11	Jasło	Podkarpackie	Płock	Mazowieckie
36	Jasło	Podkarpackie	Warszawa	Mazowieckie
22	Jasło	Podkarpackie	Brzozów - miasto	Podkarpackie
1548	Jasło	Podkarpackie	Jasło	Podkarpackie
11	Jasło	Podkarpackie	Brzyska	Podkarpackie
51	Jasło	Podkarpackie	Dębowiec	Podkarpackie
11	Jasło	Podkarpackie	Kołaczyce - miasto	Podkarpackie
31	Jasło	Podkarpackie	Kołaczyce - obszar wiejski	Podkarpackie
16	Jasło	Podkarpackie	Nowy Żmigród	Podkarpackie
69	Jasło	Podkarpackie	Skołyszyn	Podkarpackie
72	Jasło	Podkarpackie	Tarnowiec	Podkarpackie
14	Jasło	Podkarpackie	Jedlicze - miasto	Podkarpackie
27	Jasło	Podkarpackie	Jedlicze - obszar wiejski	Podkarpackie
20	Jasło	Podkarpackie	Wojaszówka	Podkarpackie
10	Jasło	Podkarpackie	Sanok	Podkarpackie
364	Jasło	Podkarpackie	Krosno	Podkarpackie
286	Jasło	Podkarpackie	Rzeszów	Podkarpackie
34	Jasło	Podkarpackie	Tarnobrzeg	Podkarpackie
10	Jasło	Podkarpackie	Gdańsk	Pomorskie
12	Jasło	Podkarpackie	Piła	Wielkopolskie
110	Kołaczyce - miasto	Podkarpackie	Jasło	Podkarpackie
30	Kołaczyce - miasto	Podkarpackie	Kołaczyce - obszar wiejski	Podkarpackie
16	Kołaczyce - miasto	Podkarpackie	Rzeszów	Podkarpackie
21	Kołaczyce - obszar wiejski	Podkarpackie	Kraków	Małopolskie
14	Kołaczyce - obszar wiejski	Podkarpackie	Warszawa	Mazowieckie
19	Kołaczyce - obszar wiejski	Podkarpackie	Brzostek - miasto	Podkarpackie
13	Kołaczyce - obszar wiejski	Podkarpackie	Brzostek - obszar wiejski	Podkarpackie
556	Kołaczyce - obszar wiejski	Podkarpackie	Jasło	Podkarpackie
