"","Country","2019","2015","2011","2007","2003","1995"
"1","Australia",517,505,505,496,505,NA
"2","Bahrain",481,454,409,398,401,NA
"3","Chile",441,427,416,NA,387,392
"4","Chinese Taipei",612,599,609,598,585,585
"5","Cyprus",501,NA,NA,465,459,476
"6","Egypt",413,392,NA,391,406,NA
"7","England",515,518,507,513,498,496
"8","Finland",509,NA,514,NA,NA,NA
"9","France",483,NA,NA,NA,NA,NA
"10","Georgia",461,453,431,410,NA,NA
"11","Hong Kong SAR",578,594,586,572,586,582
"12","Hungary",517,514,505,517,529,532
"13","Iran, Islamic Rep. of",446,436,415,403,411,422
"14","Ireland",524,523,NA,NA,NA,NA
"15","Israel",519,511,516,NA,NA,NA
"16","Italy",497,494,498,480,484,479
"17","Japan",594,586,570,570,570,579
"18","Jordan",420,386,406,427,424,428
"19","Kazakhstan",488,NA,487,NA,NA,NA
"20","Korea, Rep. of",607,606,613,597,589,587
"21","Kuwait",403,392,NA,NA,NA,NA
"22","Lebanon",429,442,449,449,433,NA
"23","Lithuania",520,511,502,506,502,482
"24","Malaysia",461,465,440,474,508,519
"25","Morocco",388,384,371,NA,NA,NA
"26","New Zealand",482,493,488,NA,494,491
"27","Norway (9)",503,512,NA,NA,NA,NA
"28","Oman",411,403,366,372,NA,NA
"29","Portugal",500,NA,NA,NA,NA,NA
"30","Qatar",443,437,410,NA,NA,NA
"31","Romania",479,NA,458,461,475,472
"32","Russian Federation",543,538,539,512,508,526
"33","Saudi Arabia",394,368,394,NA,NA,NA
"34","Singapore",616,621,611,593,605,604
"35","South Africa (9)",389,372,352,NA,NA,NA
"36","Sweden",503,501,484,491,499,NA
"37","Turkey",496,458,452,NA,NA,NA
"38","United Arab Emirates",473,465,456,NA,NA,NA
"39","United States",515,518,509,508,504,502
