"","Country","TotalHours","ScienceHours"
"1","South Africa (5)",1205,145
"2","Pakistan",1218,139
"3","Oman",1016,120
"4","United Arab Emirates",1034,119
"5","Bahrain",1012,118
"6","Spain",869,110
"7","Turkey (5)",1001,109
"8","Portugal",887,104
"9","Qatar",1011,101
"10","Chile",1186,97
"11","Japan",904,92
"12","Chinese Taipei",953,86
"13","Singapore",1009,84
"14","United States",1106,83
"15","Croatia",859,82
"16","Canada",951,80
"17","Iran, Islamic Rep. of",627,78
"18","Kuwait",899,78
"19","Serbia",794,77
"20","Austria",759,76
"21","Montenegro",653,75
"22","Sweden",854,75
"23","Denmark",1043,74
"24","Bosnia and Herzegovina",851,74
"25","Italy",1098,73
"26","Finland",746,71
"27","Korea, Rep. of",694,71
"28","Saudi Arabia",1056,66
"29","Norway (5)",868,65
"30","Slovak Republic",784,64
"31","Lithuania",725,59
"32","Kosovo",777,59
"33","North Macedonia",818,58
"34","Georgia",750,57
"35","Germany",833,56
"36","Hungary",842,56
"37","Poland",737,55
"38","Albania",729,54
"39","Morocco",1081,54
"40","Armenia",752,54
"41","Australia",1015,53
"42","Azerbaijan",731,53
"43","Latvia",689,53
"44","Czech Republic",763,51
"45","Malta",930,51
"46","Cyprus",849,51
"47","Russian Federation",663,48
"48","France",820,47
"49","New Zealand",917,40
"50","Kazakhstan",732,40
"51","Northern Ireland",947,38
"52","Bulgaria",700,37
"53","Netherlands",1049,35
"54","Ireland",925,34
"55","Belgium (Flemish)",951,NA
"56","England",989,NA
"57","Hong Kong SAR",1022,NA
