"","Country","TotalHours","MathsHours"
"1","Italy",1098,230
"2","South Africa (5)",1205,227
"3","Singapore",1009,211
"4","United States",1106,210
"5","Belgium (Flemish)",951,210
"6","Chile",1186,204
"7","Northern Ireland",947,203
"8","Canada",951,198
"9","Netherlands",1049,197
"10","Australia",1015,190
"11","France",820,182
"12","Bahrain",1012,177
"13","Philippines",1225,173
"14","Qatar",1011,172
"15","Cyprus",849,171
"16","Morocco",1081,171
"17","United Arab Emirates",1034,169
"18","Malta",930,166
"19","Ireland",925,165
"20","New Zealand",917,160
"21","Oman",1016,158
"22","Pakistan",1218,157
"23","Spain",869,156
"24","Denmark",1043,155
"25","Germany",833,153
"26","Hong Kong SAR",1022,152
"27","Japan",904,151
"28","Kosovo",777,150
"29","Czech Republic",763,149
"30","Serbia",794,148
"31","Chinese Taipei",953,147
"32","Turkey (5)",1001,140
"33","Hungary",842,140
"34","Sweden",854,137
"35","Saudi Arabia",1056,136
"36","Kuwait",899,136
"37","Kazakhstan",732,134
"38","North Macedonia",818,131
"39","Georgia",750,131
"40","Austria",759,130
"41","Slovak Republic",784,127
"42","Norway (5)",868,127
"43","Armenia",752,126
"44","Lithuania",725,125
"45","Azerbaijan",731,124
"46","Bosnia and Herzegovina",851,122
"47","Croatia",859,121
"48","Finland",746,117
"49","Montenegro",653,117
"50","Latvia",689,117
"51","Albania",729,113
"52","Poland",737,111
"53","Iran, Islamic Rep. of",627,109
"54","Russian Federation",663,102
"55","Bulgaria",700,102
"56","Korea, Rep. of",694,101
"57","England",989,NA
