"","Country","2019","2015","2011","2007","2003","1995"
"1","Armenia",3.4,4,3.8,NA,4.3,NA
"2","Australia",2.4,2.9,2.9,3.3,4.3,3.7
"3","Austria",2.6,NA,2.9,2.5,NA,3.6
"4","Azerbaijan",3.3,NA,5.6,NA,NA,NA
"5","Bahrain",3.4,2.6,3.5,NA,NA,NA
"6","Belgium (Flemish)",2.1,2.3,2,NA,1.9,NA
"7","Bulgaria",4.9,5.9,NA,NA,NA,NA
"8","Canada",1.9,2.6,NA,NA,NA,NA
"9","Chile",2.6,2.7,2.5,NA,NA,NA
"10","Chinese Taipei",1.8,1.8,2.2,2,1.8,NA
"11","Croatia",2.2,2.1,2.2,NA,NA,NA
"12","Cyprus",3,2.6,NA,NA,2.4,3.4
"13","Czech Republic",2.6,2.4,2.5,3,NA,3.1
"14","Denmark",2.4,2.1,2.8,2.9,NA,NA
"15","England",2.7,2.4,3,2.8,3.5,3.2
"16","Finland",2.6,2.3,2.6,NA,NA,NA
"17","France",3,2.7,NA,NA,NA,NA
"18","Georgia",3.9,3.7,3.9,4.6,NA,NA
"19","Germany",2.2,2.4,2.9,2.4,NA,NA
"20","Hong Kong SAR",3.3,2.9,3.7,3.5,3,3.4
"21","Hungary",2.7,3.3,3.7,3.4,2.8,3.4
"22","Iran, Islamic Rep. of",4.1,4,3.8,4.4,4.2,4.6
"23","Ireland",3.2,2.4,3.3,NA,NA,3.5
"24","Italy",3,2.6,2.7,3.2,3.8,NA
"25","Japan",1.8,1.8,1.9,2.1,1.5,1.7
"26","Kazakhstan",3.1,NA,5.1,NA,NA,NA
"27","Korea, Rep. of",2.1,2,2.1,NA,NA,2.1
"28","Kuwait",6.1,6.2,NA,NA,NA,NA
"29","Latvia",2.4,NA,NA,NA,2.5,NA
"30","Lithuania",2.5,2.5,2.4,2.4,2.6,NA
"31","Malta",1.3,NA,1.9,NA,NA,NA
"32","Morocco",5.8,4.7,4.4,NA,NA,NA
"33","Netherlands",2.9,2.7,2.2,2.6,2,3.2
"34","New Zealand",2.3,2.7,2.4,2.7,2.4,5.4
"35","Northern Ireland",2.3,2.2,2.5,NA,NA,NA
"36","Norway (5)",2.2,2.6,NA,NA,NA,NA
"37","Oman",4.1,3.1,4.3,NA,NA,NA
"38","Philippines",7.5,NA,NA,NA,9.6,NA
"39","Poland",2.6,2.4,NA,NA,NA,NA
"40","Portugal",2.6,2.2,3.8,NA,NA,4.1
"41","Qatar",3.9,4.1,4.3,NA,NA,NA
"42","Russian Federation",3,3.2,3.4,5,5.3,NA
"43","Saudi Arabia",4.1,4.9,5.5,NA,NA,NA
"44","Serbia",3.5,3.7,3.1,NA,NA,NA
"45","Singapore",3.4,3.7,3.4,4.1,5.5,4.8
"46","Slovak Republic",3.7,2.6,3.7,4.8,NA,NA
"47","Spain",2,2.6,3.1,NA,NA,NA
"48","Sweden",3.3,3.6,2.8,2.9,NA,NA
"49","United Arab Emirates",2.1,2.8,2.5,NA,NA,NA
"50","United States",2.7,2.2,2.1,2.7,2.5,3.4
