"","Country","TotalHours","ScienceHours"
"1","Lebanon *",960,243
"2","Georgia *",850,222
"3","Kazakhstan *",886,221
"4","Russian Federation *",868,220
"5","Lithuania *",918,217
"6","Hungary *",899,214
"7","Romania *",926,188
"8","Morocco *",1341,151
"9","Oman",1056,149
"10","Finland *",912,142
"11","United States",1148,140
"12","United Arab Emirates",1094,139
"13","Bahrain",1115,138
"14","Chinese Taipei",1137,136
"15","Japan",1018,133
"16","Portugal *",1138,132
"17","Sweden *",926,131
"18","Malaysia",1165,130
"19","South Africa (9)",1212,128
"20","Israel",1118,126
"21","New Zealand",967,124
"22","Australia",1013,124
"23","Qatar",1090,123
"24","Turkey",1009,121
"25","Cyprus *",882,120
"26","Kuwait",982,118
"27","Saudi Arabia",1069,116
"28","Chile",1221,115
"29","Jordan",1020,115
"30","France *",1112,113
"31","Singapore",1053,112
"32","Egypt",1110,106
"33","Hong Kong SAR",999,104
"34","Norway (9)",949,88
"35","Korea, Rep. of",933,87
"36","Ireland",973,87
"37","Iran, Islamic Rep. of",768,82
"38","Italy",1065,70
"39","England",995,91
