"","year","month","day","temperature","precipitation","precipitation_type"
"161",2018,9,8,17.5,12,"rain"
"162",2018,9,9,17.7,0.1,"rain"
"163",2018,9,10,18.4,0,"dry"
"164",2018,9,11,18.6,0,"dry"
"165",2018,9,12,21.2,0,"dry"
"166",2018,9,13,18.1,11.8,"rain"
"167",2018,9,14,15.9,0,"dry"
"168",2018,9,15,16.7,0.1,"rain"
"169",2018,9,16,14.9,0,"dry"
"170",2018,9,17,16.1,0,"dry"
"171",2018,9,18,18.2,0,"dry"
"172",2018,9,19,19.8,0,"dry"
"173",2018,9,20,20.4,0,"dry"
"174",2018,9,21,20.5,0.1,"rain"
"175",2018,9,22,15.2,0,"rain"
"176",2018,9,23,11.1,27.5,"rain"
"177",2018,9,24,9.1,2.3,"rain"
"178",2018,9,25,7.9,0.1,"rain"
"179",2018,9,26,8.6,1.2,"rain"
"180",2018,9,27,14.3,0,"dry"
"181",2018,9,28,14.1,0,"dry"
"182",2018,9,29,8.5,0,"dry"
"183",2018,9,30,8.6,0,"dry"
"184",2018,10,1,9,0,"dry"
"185",2018,10,2,9.5,0.3,"rain"
"186",2018,10,3,9.9,1,"rain"
"187",2018,10,4,8.9,0,"dry"
"188",2018,10,5,10.8,0,"dry"
"189",2018,10,6,11.2,0,"dry"
"190",2018,10,7,14.8,0,"dry"
"191",2018,10,8,8.9,0,"dry"
"192",2018,10,9,8.9,0,"dry"
"193",2018,10,10,10.9,0,"dry"
"194",2018,10,11,13.5,0,"dry"
"195",2018,10,12,14.2,0,"dry"
"196",2018,10,13,13.9,0,"dry"
"197",2018,10,14,13.2,0,"dry"
"198",2018,10,15,12.1,0,"dry"
"199",2018,10,16,11.4,0,"dry"
"200",2018,10,17,12.2,0,"dry"
"201",2018,10,18,12.3,0,"dry"
"202",2018,10,19,10.8,0,"dry"
"203",2018,10,20,9.1,3,"rain"
"204",2018,10,21,8,0,"dry"
"205",2018,10,22,6.1,0.7,"rain"
"206",2018,10,23,6.7,23.1,"rain"
"207",2018,10,24,5.7,1.4,"rain"
"208",2018,10,25,6.7,7.3,"rain"
"209",2018,10,26,8,0.1,"rain"
"210",2018,10,27,8.7,0,"dry"
"211",2018,10,28,5.8,23.3,"rain"
"212",2018,10,29,6.6,0.5,"rain"
"213",2018,10,30,15.8,0,"dry"
"214",2018,10,31,11.6,0,"dry"
"215",2018,11,1,10.5,0,"dry"
"216",2018,11,2,14.6,0,"rain"
"217",2018,11,3,10.8,3.4,"rain"
"218",2018,11,4,10.1,0.2,"rain"
"219",2018,11,5,11.1,0.1,"rain"
"220",2018,11,6,10.7,0,"dry"
"221",2018,11,7,10.4,0,"dry"
"222",2018,11,8,9.1,0,"dry"
"223",2018,11,9,7.5,0,"dry"
"224",2018,11,10,7.1,0,"dry"
"225",2018,11,11,5.9,0,"dry"
"226",2018,11,12,7.7,0,"dry"
"227",2018,11,13,9.5,4.2,"rain"
"228",2018,11,14,9.3,0.6,"rain"
"229",2018,11,15,7.9,0.1,"rain"
"230",2018,11,16,4.7,0,"dry"
