"","endTime","artistName","trackName","msPlayed","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"331","2020-12-27 16:02","Phoebe Bridgers","I Know The End",215736,0.328,0.32,1,-10.282,1,0.035,0.324,0.019,0.234,0.259,111.453,"audio_features","3cr3oAP4bQFNjZBV7ElKaB","spotify:track:3cr3oAP4bQFNjZBV7ElKaB","https://api.spotify.com/v1/tracks/3cr3oAP4bQFNjZBV7ElKaB","https://api.spotify.com/v1/audio-analysis/3cr3oAP4bQFNjZBV7ElKaB",344693,4
"332","2020-12-27 16:06","The Avalanches","The Divine Chord",187586,0.557,0.863,0,-5.321,0,0.0391,0.104,0,0.697,0.373,105.362,"audio_features","3A0cAzFKPefBCz7Z02UnnO","spotify:track:3A0cAzFKPefBCz7Z02UnnO","https://api.spotify.com/v1/tracks/3A0cAzFKPefBCz7Z02UnnO","https://api.spotify.com/v1/audio-analysis/3A0cAzFKPefBCz7Z02UnnO",187587,4
"333","2020-12-27 16:09","The Avalanches","Interstellar Love",218506,0.448,0.83,2,-6.784,1,0.105,0.388,0.000156,0.649,0.27,116.311,"audio_features","4PUGAmAvt5VxbbefkhV0x5","spotify:track:4PUGAmAvt5VxbbefkhV0x5","https://api.spotify.com/v1/tracks/4PUGAmAvt5VxbbefkhV0x5","https://api.spotify.com/v1/audio-analysis/4PUGAmAvt5VxbbefkhV0x5",218507,4
"334","2020-12-27 16:12","The Avalanches","Gold Sky",151485,0.343,0.688,2,-7.408,1,0.0527,0.784,0.59,0.699,0.361,171.88,"audio_features","3XlOL0qIITmNBKBcZTqS9n","spotify:track:3XlOL0qIITmNBKBcZTqS9n","https://api.spotify.com/v1/tracks/3XlOL0qIITmNBKBcZTqS9n","https://api.spotify.com/v1/audio-analysis/3XlOL0qIITmNBKBcZTqS9n",268267,4
"335","2020-12-27 16:16","The Avalanches","Gold Sky",268266,0.343,0.688,2,-7.408,1,0.0527,0.784,0.59,0.699,0.361,171.88,"audio_features","3XlOL0qIITmNBKBcZTqS9n","spotify:track:3XlOL0qIITmNBKBcZTqS9n","https://api.spotify.com/v1/tracks/3XlOL0qIITmNBKBcZTqS9n","https://api.spotify.com/v1/audio-analysis/3XlOL0qIITmNBKBcZTqS9n",268267,4
"336","2020-12-27 16:22","The Avalanches","We Will Always Love You",151316,0.535,0.626,2,-7.607,0,0.0418,0.4,0.752,0.102,0.176,160.106,"audio_features","51wxtCuipwjvvT99wsSmCc","spotify:track:51wxtCuipwjvvT99wsSmCc","https://api.spotify.com/v1/tracks/51wxtCuipwjvvT99wsSmCc","https://api.spotify.com/v1/audio-analysis/51wxtCuipwjvvT99wsSmCc",172040,4
"337","2020-12-27 21:49","Perfume Genius","Whole Life",233520,0.266,0.419,6,-8.254,1,0.0421,0.722,0.00287,0.115,0.119,135.998,"audio_features","1cfD3DSqV5Dnv6b8qitlxr","spotify:track:1cfD3DSqV5Dnv6b8qitlxr","https://api.spotify.com/v1/tracks/1cfD3DSqV5Dnv6b8qitlxr","https://api.spotify.com/v1/audio-analysis/1cfD3DSqV5Dnv6b8qitlxr",233520,4
"338","2020-12-27 21:52","Perfume Genius","Describe",184485,0.228,0.356,3,-10.591,1,0.0312,0.512,0.9,0.219,0.0473,135.827,"audio_features","7zZpX1EByY0CLdDFqjSEZs","spotify:track:7zZpX1EByY0CLdDFqjSEZs","https://api.spotify.com/v1/tracks/7zZpX1EByY0CLdDFqjSEZs","https://api.spotify.com/v1/audio-analysis/7zZpX1EByY0CLdDFqjSEZs",284187,4
"339","2020-12-27 21:54","Perfume Genius","Without You",155546,0.649,0.755,9,-5.33,1,0.0289,0.0669,0.00699,0.346,0.831,133.516,"audio_features","2sLkJQNpMoOhxmTO6U1scK","spotify:track:2sLkJQNpMoOhxmTO6U1scK","https://api.spotify.com/v1/tracks/2sLkJQNpMoOhxmTO6U1scK","https://api.spotify.com/v1/audio-analysis/2sLkJQNpMoOhxmTO6U1scK",155547,4
"340","2020-12-27 21:57","Perfume Genius","Jason",185826,0.34,0.324,1,-7.6,1,0.0344,0.345,1.64e-05,0.0847,0.344,145.822,"audio_features","34B5INdEjbTXvNkCC5GtYz","spotify:track:34B5INdEjbTXvNkCC5GtYz","https://api.spotify.com/v1/tracks/34B5INdEjbTXvNkCC5GtYz","https://api.spotify.com/v1/audio-analysis/34B5INdEjbTXvNkCC5GtYz",185827,4
"341","2020-12-27 22:01","Perfume Genius","Leave",185853,0.245,0.279,6,-10.914,1,0.0333,0.917,0.746,0.238,0.0921,139.93,"audio_features","4NUgMG0zEQvlbJ1pEVnCFQ","spotify:track:4NUgMG0zEQvlbJ1pEVnCFQ","https://api.spotify.com/v1/tracks/4NUgMG0zEQvlbJ1pEVnCFQ","https://api.spotify.com/v1/audio-analysis/4NUgMG0zEQvlbJ1pEVnCFQ",185853,4
"342","2020-12-27 22:06","Perfume Genius","On the Floor",303600,0.412,0.727,9,-6.001,1,0.0369,0.318,0.00171,0.257,0.583,117.551,"audio_features","05HElY3EVth4SMuOJOGusl","spotify:track:05HElY3EVth4SMuOJOGusl","https://api.spotify.com/v1/tracks/05HElY3EVth4SMuOJOGusl","https://api.spotify.com/v1/audio-analysis/05HElY3EVth4SMuOJOGusl",303600,4
"343","2020-12-27 22:10","Perfume Genius","Your Body Changes Everything",253560,0.707,0.751,1,-6.262,1,0.0305,0.334,0.11,0.13,0.655,107.25,"audio_features","6rnrk0DfqoGZ8yUKiYxV1j","spotify:track:6rnrk0DfqoGZ8yUKiYxV1j","https://api.spotify.com/v1/tracks/6rnrk0DfqoGZ8yUKiYxV1j","https://api.spotify.com/v1/audio-analysis/6rnrk0DfqoGZ8yUKiYxV1j",253560,3
"344","2020-12-28 09:09","Perfume Genius","Moonbend",268911,0.293,0.156,5,-13.396,0,0.0397,0.953,0.00253,0.109,0.0932,161.729,"audio_features","4OXnV0stuMc8z7SLFcD6z3","spotify:track:4OXnV0stuMc8z7SLFcD6z3","https://api.spotify.com/v1/tracks/4OXnV0stuMc8z7SLFcD6z3","https://api.spotify.com/v1/audio-analysis/4OXnV0stuMc8z7SLFcD6z3",321520,1
