"","Date","stringency_index"
"1","2020-01-01",0
"2","2020-01-02",0
"3","2020-01-03",0
"4","2020-01-04",0
"5","2020-01-05",0
"6","2020-01-06",0
"7","2020-01-07",0
"8","2020-01-08",0
"9","2020-01-09",0
"10","2020-01-10",0
"11","2020-01-11",0
"12","2020-01-12",0
"13","2020-01-13",0
"14","2020-01-14",0
"15","2020-01-15",0
"16","2020-01-16",0
"17","2020-01-17",0
"18","2020-01-18",0
"19","2020-01-19",0
"20","2020-01-20",0
"21","2020-01-21",0
"22","2020-01-22",0
"23","2020-01-23",5.56
"24","2020-01-24",5.56
"25","2020-01-25",5.56
"26","2020-01-26",5.56
"27","2020-01-27",5.56
"28","2020-01-28",5.56
"29","2020-01-29",5.56
"30","2020-01-30",5.56
"31","2020-01-31",5.56
"32","2020-02-01",5.56
"33","2020-02-02",5.56
"34","2020-02-03",5.56
"35","2020-02-04",5.56
"36","2020-02-05",5.56
"37","2020-02-06",5.56
"38","2020-02-07",5.56
"39","2020-02-08",5.56
"40","2020-02-09",5.56
"41","2020-02-10",5.56
"42","2020-02-11",5.56
"43","2020-02-12",5.56
"44","2020-02-13",5.56
"45","2020-02-14",5.56
"46","2020-02-15",5.56
"47","2020-02-16",5.56
"48","2020-02-17",5.56
"49","2020-02-18",5.56
"50","2020-02-19",5.56
"51","2020-02-20",5.56
"52","2020-02-21",5.56
"53","2020-02-22",5.56
"54","2020-02-23",5.56
"55","2020-02-24",5.56
"56","2020-02-25",5.56
"57","2020-02-26",5.56
"58","2020-02-27",11.11
"59","2020-02-28",11.11
"60","2020-02-29",11.11
"61","2020-03-01",11.11
"62","2020-03-02",11.11
"63","2020-03-03",11.11
"64","2020-03-04",11.11
"65","2020-03-05",11.11
"66","2020-03-06",11.11
"67","2020-03-07",11.11
"68","2020-03-08",11.11
"69","2020-03-09",13.89
"70","2020-03-10",25
"71","2020-03-11",25
"72","2020-03-12",41.67
"73","2020-03-13",41.67
"74","2020-03-14",49.07
"75","2020-03-15",57.41
"76","2020-03-16",57.41
"77","2020-03-17",57.41
"78","2020-03-18",57.41
"79","2020-03-19",57.41
"80","2020-03-20",57.41
"81","2020-03-21",57.41
"82","2020-03-22",57.41
"83","2020-03-23",57.41
"84","2020-03-24",57.41
"85","2020-03-25",57.41
"86","2020-03-26",57.41
"87","2020-03-27",57.41
"88","2020-03-28",57.41
"89","2020-03-29",57.41
