"","location","cases","hosp","deaths"
"1","Albania",32761,NA,699
"2","Andorra",6256,NA,76
"3","Austria",246124,NA,2199
"4","Belarus",123999,NA,1096
"5","Belgium",558146,1127.57433333333,15510
"6","Bosnia and Herzegovina",80007,NA,2276
"7","Bulgaria",121820,NA,2880
"8","Croatia",103718,173.780310344828,1353
"9","Cyprus",8643,11.3529411764706,44
"10","Czech Republic",492263,1744.72316216216,7196
"11","Denmark",70485,114.940864864865,784
"12","Estonia",9724,20.3318333333333,88
"13","Faeroe Islands",500,NA,-Inf
"14","Finland",21639,NA,375
"15","France",2140208,5595.21617142857,48732
"16","Germany",929133,830.656825,14112
"17","Gibraltar",958,NA,4
"18","Greece",91619,NA,1630
"19","Guernsey",283,NA,13
"20","Hungary",177952,NA,3891
"21","Iceland",5277,14.17925,26
"22","Ireland",70461,81.0660606060606,2023
"23","Isle of Man",368,NA,25
"24","Italy",1408868,NA,49823
"25","Jersey",811,NA,32
"26","Kosovo",34295,NA,914
"27","Latvia",13120,27.6712380952381,153
"28","Liechtenstein",1112,NA,8
"29","Lithuania",47047,60.9266785714286,386
"30","Luxembourg",30333,NA,262
"31","Macedonia",54743,NA,1511
"32","Malta",8560,6.98759459459459,104
"33","Moldova",97941,NA,2149
"34","Monaco",582,NA,2
"35","Montenegro",31062,NA,439
"36","Netherlands",484060,415.4538,8879
"37","Norway",31438,NA,306
"38","Poland",861331,NA,13618
"39","Portugal",260758,190.152714285714,3897
"40","Romania",418645,10134.3918275862,10047
"41","Russia",2114502,NA,36540
"42","San Marino",1395,NA,43
"43","Serbia",121120,NA,1199
"44","Slovakia",96241,NA,671
"45","Slovenia",65308,67.27975,663
"46","Spain",1556730,4246.58723809524,42619
"47","Sweden",208295,NA,6406
"48","Switzerland",289483,NA,3567
"49","Ukraine",612665,NA,10813
"50","United Kingdom",1512045,5350.43265789474,54751
"51","Vatican",26,NA,-Inf
