"Kod";"Nazwa";"marzec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";"kwiecień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";"maj;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";"czerwiec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";"lipiec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";"sierpień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";"wrzesień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";
0200000;"DOLNOŚLĄSKIE";242184;264301;334091;330411;384795;413460;358437;
0400000;"KUJAWSKO-POMORSKIE";81375;101099;129366;140544;143716;149885;130665;
0600000;"LUBELSKIE";69956;80284;98686;116132;128670;134820;104511;
0800000;"LUBUSKIE";40902;52753;63465;74050;85285;90634;69398;
1000000;"ŁÓDZKIE";102715;110882;111835;132701;116607;116641;130108;
1200000;"MAŁOPOLSKIE";354326;386563;460694;487149;535792;579606;496540;
1400000;"MAZOWIECKIE";404590;435189;472571;517681;476779;489527;511306;
1600000;"OPOLSKIE";26404;32200;37981;42058;49968;48401;39090;
1800000;"PODKARPACKIE";73417;88158;121398;122638;143119;161632;126284;
2000000;"PODLASKIE";36337;44748;62124;71058;84062;85576;57895;
2200000;"POMORSKIE";156481;191421;260819;337579;509069;523102;276923;
2400000;"ŚLĄSKIE";200348;206694;240739;268555;277338;284898;269736;
2600000;"ŚWIĘTOKRZYSKIE";40873;46107;65238;67322;62161;67353;65315;
2800000;"WARMIŃSKO-MAZURSKIE";65523;77935;117640;156636;201600;200738;131517;
3000000;"WIELKOPOLSKIE";144178;167697;192515;215604;212802;226377;206238;
3200000;"ZACHODNIOPOMORSKIE";165504;181725;243393;309611;515009;494910;293205;
