,Tydzien,Hiszpania ceny,Wlochy cena,Turcja ceny,Grecja ceny,Grecja wyjazd,wycieczka,biura podrozy,wakacje last minute,Turcja wyjazd,Bulgaria ceny,suma,Tydzien_2020,Hiszpania ceny 2020,Wlochy cena 2020,Turcja ceny 2020,Grecja ceny 2020,Grecja wyjazd 2020,Wycieczka 2020,biura podrozy 2020,wakacje last minute 2020,Turcja wyjazd 2020,Bulgaria ceny 2020,Suma 2020
42,2019-09-29,24,16,16,24,0,68,43,8,15,15,41.8918918918919,2020-09-27,0,0,30,15,0,24,22,2,0,0,20.9459459459459
43,2019-10-06,48,48,48,16,24,61,40,7,15,15,63.0067567567568,2020-10-04,0,15,0,0,0,24,13,3,14,0,11.9932432432432
44,2019-10-13,48,16,24,16,16,63,36,6,30,15,50,2020-10-11,15,53,0,15,0,16,8,2,14,14,23.1418918918919
45,2019-10-20,16,16,16,48,16,68,34,5,0,0,40.3716216216216,2020-10-18,0,23,0,15,0,19,8,2,0,14,14.0202702702703
46,2019-10-27,16,33,33,33,0,59,36,6,15,0,44.9324324324324,2020-10-25,15,22,15,15,0,16,8,2,14,0,20.777027027027
47,2019-11-03,0,77,0,31,15,73,38,7,0,14,43.4121621621622,2020-11-01,0,28,0,14,0,17,9,2,13,0,14.1891891891892
48,2019-11-10,31,16,16,16,16,70,40,5,0,15,41.3851351351351,2020-11-08,0,44,15,15,15,22,12,3,0,0,23.9864864864865
49,2019-11-17,15,0,30,31,0,68,37,4,0,29,41.554054054054,2020-11-15,0,28,28,14,0,23,12,1,0,13,25
50,2019-11-24,52,30,15,0,15,55,35,3,14,28,44.7635135135135,2020-11-22,0,0,0,0,0,21,9,3,13,0,7.93918918918919
51,2019-12-01,23,15,0,15,16,53,31,4,0,0,26.8581081081081,2020-11-29,0,21,14,0,14,22,13,1,13,13,21.4527027027027
52,2019-12-08,0,0,0,0,0,50,31,3,14,14,19.0878378378378,2020-12-06,51,51,0,0,0,27,8,1,0,0,23.4797297297297
