"Kod";"Nazwa";"marzec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";"kwiecień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";"maj;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";"czerwiec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";"lipiec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";"sierpień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";"wrzesień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";
0200000;"DOLNOŚLĄSKIE";274124;285207;372953;361650;387199;428654;353942;
0400000;"KUJAWSKO-POMORSKIE";92481;92833;130467;149671;143178;155448;132194;
0600000;"LUBELSKIE";73571;76677;113220;119900;135061;149391;111581;
0800000;"LUBUSKIE";42179;52565;71174;79567;94027;94876;67018;
1000000;"ŁÓDZKIE";117745;110331;129693;130681;122557;128597;144417;
1200000;"MAŁOPOLSKIE";381527;395422;500413;522626;570576;643541;515068;
1400000;"MAZOWIECKIE";426109;420329;525399;533498;485477;510184;541250;
1600000;"OPOLSKIE";32565;30925;42665;45268;47203;50188;40359;
1800000;"PODKARPACKIE";81887;81467;120846;126468;148712;167351;128797;
2000000;"PODLASKIE";39080;42609;67378;77093;89972;93883;65056;
2200000;"POMORSKIE";174400;197889;287884;370986;519460;530841;290319;
2400000;"ŚLĄSKIE";200761;197700;257423;278896;283905;315129;271776;
2600000;"ŚWIĘTOKRZYSKIE";50888;44870;67464;72292;63908;76749;62058;
2800000;"WARMIŃSKO-MAZURSKIE";68320;77882;128995;164685;206925;215486;137132;
3000000;"WIELKOPOLSKIE";156380;154729;204138;221090;229065;233339;203263;
3200000;"ZACHODNIOPOMORSKIE";189882;199125;260533;351468;532295;525933;283613;
