Zmienna;Jednostka terytorialna;Jednostka;Rodzaj obiektu noclegowego;Kraj turysty;Rok;Miesi¹c;Wartoœæ
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Hiszpania;2019;2;15714
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Holandia;2019;2;19603
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Hong Kong;2019;2;518
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Indie;2019;2;5016
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Irlandia;2019;2;12138
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Izrael;2019;2;17188
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Japonia;2019;2;6651
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Kanada;2019;2;2517
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Litwa;2019;2;11657
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Luksemburg;2019;2;641
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;£otwa;2019;2;3486
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Malta;2019;2;1304
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Niemcy;2019;2;321749
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Norwegia;2019;2;20902
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Polska;2019;2;4719982
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Portugalia;2019;2;3788
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Republika Korei;2019;2;9635
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Rosja;2019;2;22429
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Rumunia;2019;2;6548
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;S³owacja;2019;2;11575
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;S³owenia;2019;2;1667
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Szwajcaria;2019;2;5745
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Szwecja;2019;2;19331
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Tajwan;2019;2;556
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Turcja;2019;2;4934
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Ukraina;2019;2;115032
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;USA;2019;2;35680
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Wêgry;2019;2;12249
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Wielka Brytania;2019;2;107955
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;W³ochy;2019;2;46184
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Ogó³em;2019;2;3614138
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Zagranica;2019;2;826170
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Australia;2019;2;1520
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Austria;2019;2;5928
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Belgia;2019;2;9291
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Bia³oruœ;2019;2;9859
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Brazylia;2019;2;2003
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Bu³garia;2019;2;2055
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Chiny (bez Tajwanu);2019;2;7898
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Cypr;2019;2;490
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Czechy;2019;2;13235
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Dania;2019;2;11350
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Estonia;2019;2;3025
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Finlandia;2019;2;9027
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Francja;2019;2;27011
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Grecja;2019;2;3836
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Hiszpania;2019;2;13380
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Holandia;2019;2;17890
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Hong Kong;2019;2;486
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Indie;2019;2;4003
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Irlandia;2019;2;11510
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Izrael;2019;2;16592
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Japonia;2019;2;6182
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Kanada;2019;2;2259
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Litwa;2019;2;10619
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Luksemburg;2019;2;610
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;£otwa;2019;2;3213
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Malta;2019;2;1274
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Niemcy;2019;2;247202
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Norwegia;2019;2;20082
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Polska;2019;2;2787968
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Portugalia;2019;2;3304
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Republika Korei;2019;2;9262
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Rosja;2019;2;19876
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Rumunia;2019;2;5997
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;S³owacja;2019;2;10008
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;S³owenia;2019;2;1526
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Szwajcaria;2019;2;5596
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Szwecja;2019;2;18356
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Tajwan;2019;2;543
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Turcja;2019;2;4163
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Ukraina;2019;2;68981
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;USA;2019;2;33976
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Wêgry;2019;2;10293
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Wielka Brytania;2019;2;99093
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;W³ochy;2019;2;39824
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Ogó³em;2019;3;5665729
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Zagranica;2019;3;1306869
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Australia;2019;3;2809
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Austria;2019;3;7940
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Belgia;2019;3;12284
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Bia³oruœ;2019;3;20072
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Brazylia;2019;3;2359
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Bu³garia;2019;3;2235
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Chiny (bez Tajwanu);2019;3;15812
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Cypr;2019;3;983
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Czechy;2019;3;18796
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Dania;2019;3;15886
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Estonia;2019;3;3472
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Finlandia;2019;3;13678
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Francja;2019;3;37153
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Grecja;2019;3;5966
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Hiszpania;2019;3;22787
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Holandia;2019;3;22957
