"Kod";"Nazwa";"marzec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";"kwiecień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";"maj;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";"czerwiec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";"lipiec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";"sierpień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";"wrzesień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";
0200000;"DOLNOŚLĄSKIE";217865;251473;303774;317700;339497;362936;316046;
0400000;"KUJAWSKO-POMORSKIE";83759;92579;129014;146529;143447;143419;130894;
0600000;"LUBELSKIE";65873;72433;93884;105540;126323;130816;103537;
0800000;"LUBUSKIE";42573;51914;61352;70632;83165;81297;63087;
1000000;"ŁÓDZKIE";99324;99696;113598;121721;115133;112564;141211;
1200000;"MAŁOPOLSKIE";320576;350945;440852;478043;530155;560213;474111;
1400000;"MAZOWIECKIE";411359;394772;458544;490903;459751;461200;492409;
1600000;"OPOLSKIE";28697;31603;39221;45212;48141;45669;40355;
1800000;"PODKARPACKIE";76131;82204;108580;124376;148287;157691;123687;
2000000;"PODLASKIE";41061;46477;62285;74076;87447;81225;62517;
2200000;"POMORSKIE";145599;179610;251258;329621;489925;465101;263510;
2400000;"ŚLĄSKIE";180759;178368;221616;241583;253996;278470;258487;
2600000;"ŚWIĘTOKRZYSKIE";44571;43273;58615;62380;59181;60834;55222;
2800000;"WARMIŃSKO-MAZURSKIE";63233;81324;111831;145765;194696;184886;126261;
3000000;"WIELKOPOLSKIE";144920;156167;179368;202827;213092;210592;204675;
3200000;"ZACHODNIOPOMORSKIE";140993;172530;213434;293610;462850;466566;267234;
