Kod;Nazwa;"ludność na 1 km2;2019;[osoba]";
1608000;Powiat oleski;66;
1609000;Powiat opolski;81;
1610000;Powiat prudnicki;97;
1611000;Powiat strzelecki;100;
1661000;Powiat m.Opole;860;
1801000;Powiat bieszczadzki;19;
1802000;Powiat brzozowski;122;
1803000;Powiat dębicki;174;
1804000;Powiat jarosławski;117;
1805000;Powiat jasielski;137;
1806000;Powiat kolbuszowski;81;
1807000;Powiat krośnieński;113;
1808000;Powiat leżajski;119;
1809000;Powiat lubaczowski;42;
1810000;Powiat łańcucki;179;
1811000;Powiat mielecki;155;
1812000;Powiat niżański;85;
1813000;Powiat przemyski;61;
1814000;Powiat przeworski;112;
1815000;Powiat ropczycko-sędziszowski;136;
1816000;Powiat rzeszowski;148;
1817000;Powiat sanocki;82;
1818000;Powiat stalowowolski;127;
1819000;Powiat strzyżowski;122;
1820000;Powiat tarnobrzeski;102;
1821000;Powiat leski;32;
1861000;Powiat m.Krosno;1064;
1862000;Powiat m.Przemyśl;1314;
1863000;Powiat m.Rzeszów;1550;
1864000;Powiat m.Tarnobrzeg;547;
2001000;Powiat augustowski;35;
2002000;Powiat białostocki;50;
2003000;Powiat bielski;39;
2004000;Powiat grajewski;49;
2005000;Powiat hajnowski;26;
2006000;Powiat kolneński;40;
2007000;Powiat łomżyński;38;
2008000;Powiat moniecki;29;
2009000;Powiat sejneński;23;
2010000;Powiat siemiatycki;30;
2011000;Powiat sokólski;32;
2012000;Powiat suwalski;27;
2013000;Powiat wysokomazowiecki;44;
2014000;Powiat zambrowski;59;
2061000;Powiat m.Białystok;2913;
2062000;Powiat m.Łomża;1927;
2063000;Powiat m.Suwałki;1065;
2201000;Powiat bytowski;36;
2202000;Powiat chojnicki;72;
2203000;Powiat człuchowski;36;
2204000;Powiat gdański;149;
2205000;Powiat kartuski;124;
2206000;Powiat kościerski;62;
2207000;Powiat kwidzyński;100;
2208000;Powiat lęborski;93;
2209000;Powiat malborski;128;
2210000;Powiat nowodworski;53;
2211000;Powiat pucki;149;
2212000;Powiat słupski;43;
2213000;Powiat starogardzki;95;
2214000;Powiat tczewski;166;
2215000;Powiat wejherowski;169;
2216000;Powiat sztumski;57;
2261000;Powiat m.Gdańsk;1798;
2262000;Powiat m.Gdynia;1823;
2263000;Powiat m.Słupsk;2102;
2264000;Powiat m.Sopot;2067;
2401000;Powiat będziński;407;
2402000;Powiat bielski;362;
2403000;Powiat cieszyński;244;
2404000;Powiat częstochowski;88;
2405000;Powiat gliwicki;174;
2406000;Powiat kłobucki;95;
2407000;Powiat lubliniecki;93;
2408000;Powiat mikołowski;425;
2409000;Powiat myszkowski;148;
2410000;Powiat pszczyński;237;
2411000;Powiat raciborski;199;
2412000;Powiat rybnicki;350;
2413000;Powiat tarnogórski;218;
2414000;Powiat bieruńsko-lędziński;378;
2415000;Powiat wodzisławski;548;
2416000;Powiat zawierciański;117;
2417000;Powiat żywiecki;147;
2461000;Powiat m.Bielsko-Biała;1371;
2462000;Powiat m.Bytom;2380;
2463000;Powiat m.Chorzów;3243;
2464000;Powiat m.Częstochowa;1380;
2465000;Powiat m.Dąbrowa Górnicza;633;
2466000;Powiat m.Gliwice;1334;
2467000;Powiat m.Jastrzębie-Zdrój;1040;
2468000;Powiat m.Jaworzno;597;
2469000;Powiat m.Katowice;1778;
2470000;Powiat m.Mysłowice;1137;
2471000;Powiat m.Piekary Śląskie;1376;
2472000;Powiat m.Ruda Śląska;1767;
2473000;Powiat m.Rybnik;931;
2474000;Powiat m.Siemianowice Śląskie;2621;
2475000;Powiat m.Sosnowiec;2196;
2476000;Powiat m.Świętochłowice;3723;
2477000;Powiat m.Tychy;1560;
2478000;Powiat m.Zabrze;2144;
2479000;Powiat m.Żory;966;
2601000;Powiat buski;74;
2602000;Powiat jędrzejowski;68;
2603000;Powiat kazimierski;80;
2604000;Powiat kielecki;94;
2605000;Powiat konecki;70;
2606000;Powiat opatowski;57;
2607000;Powiat ostrowiecki;177;
2608000;Powiat pińczowski;64;
2609000;Powiat sandomierski;114;
2610000;Powiat skarżyski;187;
2611000;Powiat starachowicki;171;
2612000;Powiat staszowski;78;
2613000;Powiat włoszczowski;50;
2661000;Powiat m.Kielce;1777;
2801000;Powiat bartoszycki;44;
2802000;Powiat braniewski;34;
2803000;Powiat działdowski;68;
2804000;Powiat elbląski;40;
2805000;Powiat ełcki;82;
2806000;Powiat giżycki;51;
2807000;Powiat iławski;67;
2808000;Powiat kętrzyński;51;
2809000;Powiat lidzbarski;45;
2810000;Powiat mrągowski;47;
2811000;Powiat nidzicki;34;
2812000;Powiat nowomiejski;63;
2813000;Powiat olecki;39;
2814000;Powiat olsztyński;45;
2815000;Powiat ostródzki;59;
2816000;Powiat piski;32;
2817000;Powiat szczycieński;36;
2818000;Powiat gołdapski;35;
2819000;Powiat węgorzewski;33;
2861000;Powiat m.Elbląg;1495;
2862000;Powiat m.Olsztyn;1947;
3001000;Powiat chodzieski;69;
3002000;Powiat czarnkowsko-trzcianecki;48;
3003000;Powiat gnieźnieński;116;
3004000;Powiat gostyński;94;
3005000;Powiat grodziski;81;
3006000;Powiat jarociński;122;
3007000;Powiat kaliski;72;
3008000;Powiat kępiński;93;
3009000;Powiat kolski;86;
3010000;Powiat koniński;82;
3011000;Powiat kościański;110;
3012000;Powiat krotoszyński;108;
3013000;Powiat leszczyński;71;
3014000;Powiat międzychodzki;50;
3015000;Powiat nowotomyski;75;
3016000;Powiat obornicki;84;
3017000;Powiat ostrowski;139;
3018000;Powiat ostrzeszowski;72;
3019000;Powiat pilski;107;
3020000;Powiat pleszewski;88;
3021000;Powiat poznański;210;
3022000;Powiat rawicki;109;
3023000;Powiat słupecki;70;
3024000;Powiat szamotulski;82;
3025000;Powiat średzki;94;
3026000;Powiat śremski;107;
3027000;Powiat turecki;90;
3028000;Powiat wągrowiecki;68;
3029000;Powiat wolsztyński;85;
3030000;Powiat wrzesiński;111;
3031000;Powiat złotowski;42;
3061000;Powiat m.Kalisz;1444;
3062000;Powiat m.Konin;893;
3063000;Powiat m.Leszno;1993;
3064000;Powiat m.Poznań;2042;
3201000;Powiat białogardzki;56;
3202000;Powiat choszczeński;36;
3203000;Powiat drawski;32;
3204000;Powiat goleniowski;51;
3205000;Powiat gryficki;59;
3206000;Powiat gryfiński;44;
3207000;Powiat kamieński;47;
3208000;Powiat kołobrzeski;110;
3209000;Powiat koszaliński;40;
3210000;Powiat myśliborski;56;
3211000;Powiat policki;121;
3212000;Powiat pyrzycki;54;
3213000;Powiat sławieński;54;
3214000;Powiat stargardzki;79;
3215000;Powiat szczecinecki;44;
3216000;Powiat świdwiński;43;
3217000;Powiat wałecki;37;
3218000;Powiat łobeski;34;
3261000;Powiat m.Koszalin;1089;
3262000;Powiat m.Szczecin;1337;
3263000;Powiat m.Świnoujście;202;
